Date;Zone Name;Rainy Day;Population;Median Salary (EUR);Shops per 1k hab;Hospitals per 1M hab;Childcare per 100 children under 3 y.o.;Public_Transport_Quality;Infrastructure_Quality;Traffic
27/02/2012;Zone A;0;37490.746;2028.7434;46.906;45.9476;15.8272;0.0635;0.1193;17803.0
28/02/2012;Zone A;0;37490.7699;2028.7488;46.9052;45.9486;15.8269;0.0635;0.1193;17803.0
29/02/2012;Zone A;0;37490.7938;2028.7542;46.9044;45.9496;15.8266;0.0635;0.1193;17803.0
01/03/2012;Zone A;0;37490.8177;2028.7597;46.9037;45.9505;15.8263;0.0635;0.1193;17803.0
02/03/2012;Zone A;0;37490.8416;2028.7651;46.9029;45.9515;15.826;0.0635;0.1193;17803.0
03/03/2012;Zone A;1;37490.8655;2028.7705;46.9021;45.9524;15.8257;0.0635;0.1193;19254.0
04/03/2012;Zone A;0;37490.8894;2028.7759;46.9014;45.9534;15.8254;0.0635;0.1193;18694.0
05/03/2012;Zone A;1;37490.9133;2028.7813;46.9006;45.9544;15.8251;0.0635;0.1194;18338.0
06/03/2012;Zone A;1;37490.9372;2028.7867;46.8998;45.9553;15.8248;0.0635;0.1194;18338.0
07/03/2012;Zone A;0;37490.9611;2028.7921;46.8991;45.9563;15.8245;0.0635;0.1194;17804.0
08/03/2012;Zone A;1;37490.9851;2028.7976;46.8983;45.9572;15.8241;0.0635;0.1194;18338.0
09/03/2012;Zone A;0;37491.009;2028.803;46.8975;45.9582;15.8238;0.0635;0.1194;17804.0
10/03/2012;Zone A;1;37491.0329;2028.8084;46.8968;45.9592;15.8235;0.0636;0.1194;19255.0
11/03/2012;Zone A;0;37491.0568;2028.8138;46.896;45.9601;15.8232;0.0636;0.1194;18694.0
12/03/2012;Zone A;0;37491.0807;2028.8193;46.8952;45.9611;15.8229;0.0636;0.1194;17804.0
13/03/2012;Zone A;0;37491.1046;2028.8247;46.8944;45.9621;15.8226;0.0636;0.1194;17804.0
14/03/2012;Zone A;1;37491.1285;2028.8301;46.8937;45.963;15.8223;0.0636;0.1194;18338.0
15/03/2012;Zone A;0;37491.1524;2028.8355;46.8929;45.964;15.822;0.0636;0.1195;17804.0
16/03/2012;Zone A;0;37491.1763;2028.841;46.8921;45.9649;15.8217;0.0636;0.1195;17804.0
17/03/2012;Zone A;0;37491.2002;2028.8464;46.8914;45.9659;15.8214;0.0636;0.1195;18694.0
18/03/2012;Zone A;1;37491.2241;2028.8518;46.8906;45.9669;15.8211;0.0636;0.1195;19255.0
19/03/2012;Zone A;0;37491.248;2028.8572;46.8898;45.9678;15.8208;0.0636;0.1195;17804.0
20/03/2012;Zone A;0;37491.2719;2028.8627;46.8891;45.9688;15.8205;0.0636;0.1195;17804.0
21/03/2012;Zone A;0;37491.2958;2028.8681;46.8883;45.9698;15.8201;0.0636;0.1195;17804.0
22/03/2012;Zone A;0;37491.3197;2028.8735;46.8875;45.9707;15.8198;0.0636;0.1195;17804.0
23/03/2012;Zone A;0;37491.3436;2028.879;46.8868;45.9717;15.8195;0.0637;0.1195;17804.0
24/03/2012;Zone A;1;37491.3676;2028.8844;46.886;45.9726;15.8192;0.0637;0.1195;19255.0
25/03/2012;Zone A;1;37491.3915;2028.8898;46.8852;45.9736;15.8189;0.0637;0.1196;19255.0
26/03/2012;Zone A;1;37491.4154;2028.8953;46.8845;45.9746;15.8186;0.0637;0.1196;18338.0
27/03/2012;Zone A;0;37491.4393;2028.9007;46.8837;45.9755;15.8183;0.0637;0.1196;17804.0
28/03/2012;Zone A;0;37491.4632;2028.9062;46.8829;45.9765;15.818;0.0637;0.1196;17804.0
29/03/2012;Zone A;1;37491.4871;2028.9116;46.8821;45.9775;15.8177;0.0637;0.1196;18338.0
30/03/2012;Zone A;0;37491.511;2028.917;46.8814;45.9784;15.8174;0.0637;0.1196;17804.0
31/03/2012;Zone A;0;37491.5349;2028.9225;46.8806;45.9794;15.8171;0.0637;0.1196;18694.0
01/04/2012;Zone A;0;37491.5588;2028.9279;46.8798;45.9803;15.8168;0.0637;0.1196;18694.0
02/04/2012;Zone A;1;37491.5827;2028.9334;46.8791;45.9813;15.8164;0.0637;0.1196;18338.0
03/04/2012;Zone A;1;37491.6066;2028.9388;46.8783;45.9823;15.8161;0.0637;0.1196;18338.0
04/04/2012;Zone A;1;37491.6305;2028.9443;46.8775;45.9832;15.8158;0.0637;0.1197;18338.0
05/04/2012;Zone A;1;37491.6544;2028.9497;46.8768;45.9842;15.8155;0.0638;0.1197;18338.0
06/04/2012;Zone A;1;37491.6783;2028.9552;46.876;45.9852;15.8152;0.0638;0.1197;18338.0
07/04/2012;Zone A;1;37491.7022;2028.9606;46.8752;45.9861;15.8149;0.0638;0.1197;19255.0
08/04/2012;Zone A;0;37491.7262;2028.9661;46.8745;45.9871;15.8146;0.0638;0.1197;18694.0
09/04/2012;Zone A;1;37491.7501;2028.9715;46.8737;45.988;15.8143;0.0638;0.1197;18338.0
10/04/2012;Zone A;0;37491.774;2028.977;46.8729;45.989;15.814;0.0638;0.1197;17804.0
11/04/2012;Zone A;1;37491.7979;2028.9824;46.8722;45.99;15.8137;0.0638;0.1197;18338.0
12/04/2012;Zone A;1;37491.8218;2028.9879;46.8714;45.9909;15.8134;0.0638;0.1197;18338.0
13/04/2012;Zone A;1;37491.8457;2028.9933;46.8706;45.9919;15.8131;0.0638;0.1197;18338.0
14/04/2012;Zone A;1;37491.8696;2028.9988;46.8698;45.9929;15.8128;0.0638;0.1198;19255.0
15/04/2012;Zone A;0;37491.8935;2029.0043;46.8691;45.9938;15.8124;0.0638;0.1198;18695.0
16/04/2012;Zone A;1;37491.9174;2029.0097;46.8683;45.9948;15.8121;0.0638;0.1198;18338.0
17/04/2012;Zone A;0;37491.9413;2029.0152;46.8675;45.9957;15.8118;0.0638;0.1198;17804.0
18/04/2012;Zone A;0;37491.9652;2029.0206;46.8668;45.9967;15.8115;0.0639;0.1198;17804.0
19/04/2012;Zone A;0;37491.9891;2029.0261;46.866;45.9977;15.8112;0.0639;0.1198;17804.0
20/04/2012;Zone A;0;37492.013;2029.0316;46.8652;45.9986;15.8109;0.0639;0.1198;17804.0
21/04/2012;Zone A;0;37492.0369;2029.037;46.8645;45.9996;15.8106;0.0639;0.1198;18694.0
22/04/2012;Zone A;1;37492.0608;2029.0425;46.8637;46.0006;15.8103;0.0639;0.1198;19255.0
23/04/2012;Zone A;0;37492.0848;2029.048;46.8629;46.0015;15.81;0.0639;0.1198;17804.0
24/04/2012;Zone A;1;37492.1087;2029.0534;46.8622;46.0025;15.8097;0.0639;0.1199;18339.0
25/04/2012;Zone A;1;37492.1326;2029.0589;46.8614;46.0034;15.8094;0.0639;0.1199;18339.0
26/04/2012;Zone A;0;37492.1565;2029.0644;46.8606;46.0044;15.8091;0.0639;0.1199;17804.0
27/04/2012;Zone A;0;37492.1804;2029.0698;46.8599;46.0054;15.8088;0.0639;0.1199;17804.0
28/04/2012;Zone A;0;37492.2043;2029.0753;46.8591;46.0063;15.8084;0.0639;0.1199;18695.0
29/04/2012;Zone A;1;37492.2282;2029.0808;46.8583;46.0073;15.8081;0.0639;0.1199;19256.0
30/04/2012;Zone A;0;37492.2521;2029.0863;46.8576;46.0083;15.8078;0.0639;0.1199;17804.0
01/05/2012;Zone A;1;37492.276;2029.0917;46.8568;46.0092;15.8075;0.064;0.1199;18338.0
02/05/2012;Zone A;1;37492.2999;2029.0972;46.856;46.0102;15.8072;0.064;0.1199;18338.0
03/05/2012;Zone A;1;37492.3238;2029.1027;46.8552;46.0112;15.8069;0.064;0.1199;18338.0
04/05/2012;Zone A;0;37492.3477;2029.1082;46.8545;46.0121;15.8066;0.064;0.12;17805.0
05/05/2012;Zone A;1;37492.3716;2029.1136;46.8537;46.0131;15.8063;0.064;0.12;19256.0
06/05/2012;Zone A;0;37492.3955;2029.1191;46.8529;46.014;15.806;0.064;0.12;18695.0
07/05/2012;Zone A;0;37492.4195;2029.1246;46.8522;46.015;15.8057;0.064;0.12;17805.0
08/05/2012;Zone A;0;37492.4434;2029.1301;46.8514;46.016;15.8054;0.064;0.12;17805.0
09/05/2012;Zone A;0;37492.4673;2029.1356;46.8506;46.0169;15.8051;0.064;0.12;17805.0
10/05/2012;Zone A;0;37492.4912;2029.141;46.8499;46.0179;15.8048;0.064;0.12;17805.0
11/05/2012;Zone A;0;37492.5151;2029.1465;46.8491;46.0189;15.8045;0.064;0.12;17805.0
12/05/2012;Zone A;0;37492.539;2029.152;46.8483;46.0198;15.8041;0.064;0.12;18695.0
13/05/2012;Zone A;1;37492.5629;2029.1575;46.8476;46.0208;15.8038;0.064;0.12;19256.0
14/05/2012;Zone A;0;37492.5868;2029.163;46.8468;46.0218;15.8035;0.0641;0.1201;17805.0
15/05/2012;Zone A;0;37492.6107;2029.1685;46.846;46.0227;15.8032;0.0641;0.1201;17805.0
16/05/2012;Zone A;1;37492.6346;2029.174;46.8453;46.0237;15.8029;0.0641;0.1201;18339.0
17/05/2012;Zone A;1;37492.6585;2029.1795;46.8445;46.0246;15.8026;0.0641;0.1201;18339.0
18/05/2012;Zone A;0;37492.6824;2029.185;46.8437;46.0256;15.8023;0.0641;0.1201;17805.0
19/05/2012;Zone A;1;37492.7063;2029.1904;46.843;46.0266;15.802;0.0641;0.1201;19256.0
20/05/2012;Zone A;0;37492.7303;2029.1959;46.8422;46.0275;15.8017;0.0641;0.1201;18695.0
21/05/2012;Zone A;1;37492.7542;2029.2014;46.8414;46.0285;15.8014;0.0641;0.1201;18339.0
22/05/2012;Zone A;0;37492.7781;2029.2069;46.8407;46.0295;15.8011;0.0641;0.1201;17805.0
23/05/2012;Zone A;1;37492.802;2029.2124;46.8399;46.0304;15.8008;0.0641;0.1201;18339.0
24/05/2012;Zone A;0;37492.8259;2029.2179;46.8391;46.0314;15.8005;0.0641;0.1202;17805.0
25/05/2012;Zone A;0;37492.8498;2029.2234;46.8384;46.0324;15.8002;0.0641;0.1202;17805.0
26/05/2012;Zone A;0;37492.8737;2029.2289;46.8376;46.0333;15.7998;0.0641;0.1202;18695.0
27/05/2012;Zone A;0;37492.8976;2029.2344;46.8368;46.0343;15.7995;0.0642;0.1202;18695.0
28/05/2012;Zone A;1;37492.9215;2029.2399;46.8361;46.0353;15.7992;0.0642;0.1202;18339.0
29/05/2012;Zone A;1;37492.9454;2029.2454;46.8353;46.0362;15.7989;0.0642;0.1202;18339.0
30/05/2012;Zone A;1;37492.9693;2029.2509;46.8345;46.0372;15.7986;0.0642;0.1202;18339.0
31/05/2012;Zone A;0;37492.9932;2029.2564;46.8337;46.0382;15.7983;0.0642;0.1202;17805.0
01/06/2012;Zone A;1;37493.0171;2029.262;46.833;46.0391;15.798;0.0642;0.1202;18339.0
02/06/2012;Zone A;1;37493.0411;2029.2675;46.8322;46.0401;15.7977;0.0642;0.1202;19256.0
03/06/2012;Zone A;0;37493.065;2029.273;46.8314;46.041;15.7974;0.0642;0.1203;18695.0
04/06/2012;Zone A;0;37493.0889;2029.2785;46.8307;46.042;15.7971;0.0642;0.1203;17805.0
05/06/2012;Zone A;0;37493.1128;2029.284;46.8299;46.043;15.7968;0.0642;0.1203;17805.0
06/06/2012;Zone A;1;37493.1367;2029.2895;46.8291;46.0439;15.7965;0.0642;0.1203;18339.0
07/06/2012;Zone A;1;37493.1606;2029.295;46.8284;46.0449;15.7962;0.0642;0.1203;18339.0
08/06/2012;Zone A;0;37493.1845;2029.3005;46.8276;46.0459;15.7959;0.0642;0.1203;17805.0
09/06/2012;Zone A;1;37493.2084;2029.306;46.8268;46.0468;15.7955;0.0643;0.1203;19256.0
10/06/2012;Zone A;0;37493.2323;2029.3116;46.8261;46.0478;15.7952;0.0643;0.1203;18695.0
11/06/2012;Zone A;0;37493.2562;2029.3171;46.8253;46.0488;15.7949;0.0643;0.1203;17805.0
12/06/2012;Zone A;0;37493.2801;2029.3226;46.8245;46.0497;15.7946;0.0643;0.1203;17805.0
13/06/2012;Zone A;1;37493.304;2029.3281;46.8238;46.0507;15.7943;0.0643;0.1204;18339.0
14/06/2012;Zone A;0;37493.328;2029.3336;46.823;46.0517;15.794;0.0643;0.1204;17805.0
15/06/2012;Zone A;0;37493.3519;2029.3392;46.8222;46.0526;15.7937;0.0643;0.1204;17805.0
16/06/2012;Zone A;0;37493.3758;2029.3447;46.8215;46.0536;15.7934;0.0643;0.1204;18696.0
17/06/2012;Zone A;1;37493.3997;2029.3502;46.8207;46.0546;15.7931;0.0643;0.1204;19256.0
18/06/2012;Zone A;1;37493.4236;2029.3557;46.8199;46.0555;15.7928;0.0643;0.1204;18339.0
19/06/2012;Zone A;1;37493.4475;2029.3613;46.8192;46.0565;15.7925;0.0643;0.1204;18339.0
20/06/2012;Zone A;0;37493.4714;2029.3668;46.8184;46.0574;15.7922;0.0643;0.1204;17805.0
21/06/2012;Zone A;0;37493.4953;2029.3723;46.8176;46.0584;15.7919;0.0643;0.1204;17805.0
22/06/2012;Zone A;1;37493.5192;2029.3778;46.8169;46.0594;15.7916;0.0644;0.1204;18339.0
23/06/2012;Zone A;0;37493.5431;2029.3834;46.8161;46.0603;15.7913;0.0644;0.1205;18696.0
24/06/2012;Zone A;1;37493.567;2029.3889;46.8153;46.0613;15.7909;0.0644;0.1205;19257.0
25/06/2012;Zone A;0;37493.5909;2029.3944;46.8146;46.0623;15.7906;0.0644;0.1205;17805.0
26/06/2012;Zone A;0;37493.6149;2029.4;46.8138;46.0632;15.7903;0.0644;0.1205;17805.0
27/06/2012;Zone A;1;37493.6388;2029.4055;46.813;46.0642;15.79;0.0644;0.1205;18340.0
28/06/2012;Zone A;1;37493.6627;2029.411;46.8123;46.0652;15.7897;0.0644;0.1205;18340.0
29/06/2012;Zone A;1;37493.6866;2029.4166;46.8115;46.0661;15.7894;0.0644;0.1205;18340.0
30/06/2012;Zone A;0;37493.7105;2029.4221;46.8107;46.0671;15.7891;0.0644;0.1205;18696.0
01/07/2012;Zone A;0;37493.7344;2029.4276;46.81;46.0681;15.7888;0.0644;0.1205;18696.0
02/07/2012;Zone A;0;37493.7583;2029.4332;46.8092;46.069;15.7885;0.0644;0.1205;17805.0
03/07/2012;Zone A;1;37493.7822;2029.4387;46.8084;46.07;15.7882;0.0644;0.1206;18340.0
04/07/2012;Zone A;0;37493.8061;2029.4443;46.8077;46.071;15.7879;0.0644;0.1206;17806.0
05/07/2012;Zone A;1;37493.83;2029.4498;46.8069;46.0719;15.7876;0.0645;0.1206;18340.0
06/07/2012;Zone A;0;37493.8539;2029.4553;46.8061;46.0729;15.7873;0.0645;0.1206;17806.0
07/07/2012;Zone A;1;37493.8778;2029.4609;46.8054;46.0739;15.787;0.0645;0.1206;19257.0
08/07/2012;Zone A;0;37493.9018;2029.4664;46.8046;46.0748;15.7867;0.0645;0.1206;18696.0
09/07/2012;Zone A;0;37493.9257;2029.472;46.8038;46.0758;15.7863;0.0645;0.1206;17806.0
10/07/2012;Zone A;0;37493.9496;2029.4775;46.8031;46.0768;15.786;0.0645;0.1206;17806.0
11/07/2012;Zone A;0;37493.9735;2029.4831;46.8023;46.0777;15.7857;0.0645;0.1206;17806.0
12/07/2012;Zone A;1;37493.9974;2029.4886;46.8015;46.0787;15.7854;0.0645;0.1207;18340.0
13/07/2012;Zone A;1;37494.0213;2029.4942;46.8007;46.0797;15.7851;0.0645;0.1207;18340.0
14/07/2012;Zone A;0;37494.0452;2029.4997;46.8;46.0806;15.7848;0.0645;0.1207;18696.0
15/07/2012;Zone A;1;37494.0691;2029.5053;46.7992;46.0816;15.7845;0.0645;0.1207;19257.0
16/07/2012;Zone A;1;37494.093;2029.5108;46.7984;46.0826;15.7842;0.0645;0.1207;18340.0
17/07/2012;Zone A;0;37494.1169;2029.5164;46.7977;46.0835;15.7839;0.0645;0.1207;17806.0
18/07/2012;Zone A;0;37494.1408;2029.5219;46.7969;46.0845;15.7836;0.0646;0.1207;17806.0
19/07/2012;Zone A;1;37494.1648;2029.5275;46.7961;46.0855;15.7833;0.0646;0.1207;18340.0
20/07/2012;Zone A;1;37494.1887;2029.5331;46.7954;46.0864;15.783;0.0646;0.1207;18340.0
21/07/2012;Zone A;1;37494.2126;2029.5386;46.7946;46.0874;15.7827;0.0646;0.1207;19257.0
22/07/2012;Zone A;0;37494.2365;2029.5442;46.7938;46.0884;15.7824;0.0646;0.1208;18696.0
23/07/2012;Zone A;0;37494.2604;2029.5497;46.7931;46.0893;15.7821;0.0646;0.1208;17806.0
24/07/2012;Zone A;0;37494.2843;2029.5553;46.7923;46.0903;15.7817;0.0646;0.1208;17806.0
25/07/2012;Zone A;0;37494.3082;2029.5609;46.7915;46.0913;15.7814;0.0646;0.1208;17806.0
26/07/2012;Zone A;1;37494.3321;2029.5664;46.7908;46.0922;15.7811;0.0646;0.1208;18340.0
27/07/2012;Zone A;0;37494.356;2029.572;46.79;46.0932;15.7808;0.0646;0.1208;17806.0
28/07/2012;Zone A;0;37494.3799;2029.5776;46.7892;46.0942;15.7805;0.0646;0.1208;18696.0
29/07/2012;Zone A;1;37494.4038;2029.5831;46.7885;46.0951;15.7802;0.0646;0.1208;19257.0
30/07/2012;Zone A;0;37494.4278;2029.5887;46.7877;46.0961;15.7799;0.0646;0.1208;17806.0
31/07/2012;Zone A;0;37494.4517;2029.5943;46.7869;46.0971;15.7796;0.0647;0.1208;17806.0
01/08/2012;Zone A;0;37494.4756;2029.5998;46.7862;46.098;15.7793;0.0647;0.1209;17806.0
02/08/2012;Zone A;0;37494.4995;2029.6054;46.7854;46.099;15.779;0.0647;0.1209;17806.0
03/08/2012;Zone A;1;37494.5234;2029.611;46.7846;46.1;15.7787;0.0647;0.1209;18340.0
04/08/2012;Zone A;1;37494.5473;2029.6165;46.7839;46.1009;15.7784;0.0647;0.1209;19257.0
05/08/2012;Zone A;0;37494.5712;2029.6221;46.7831;46.1019;15.7781;0.0647;0.1209;18696.0
06/08/2012;Zone A;1;37494.5951;2029.6277;46.7823;46.1029;15.7778;0.0647;0.1209;18340.0
07/08/2012;Zone A;0;37494.619;2029.6333;46.7816;46.1038;15.7775;0.0647;0.1209;17806.0
08/08/2012;Zone A;0;37494.6429;2029.6388;46.7808;46.1048;15.7772;0.0647;0.1209;17806.0
09/08/2012;Zone A;0;37494.6668;2029.6444;46.78;46.1058;15.7769;0.0647;0.1209;17806.0
10/08/2012;Zone A;0;37494.6908;2029.65;46.7793;46.1067;15.7765;0.0647;0.1209;17806.0
11/08/2012;Zone A;0;37494.7147;2029.6556;46.7785;46.1077;15.7762;0.0647;0.121;18697.0
12/08/2012;Zone A;0;37494.7386;2029.6612;46.7777;46.1087;15.7759;0.0648;0.121;18697.0
13/08/2012;Zone A;0;37494.7625;2029.6668;46.777;46.1096;15.7756;0.0648;0.121;17806.0
14/08/2012;Zone A;1;37494.7864;2029.6723;46.7762;46.1106;15.7753;0.0648;0.121;18340.0
15/08/2012;Zone A;1;37494.8103;2029.6779;46.7754;46.1116;15.775;0.0648;0.121;18341.0
16/08/2012;Zone A;1;37494.8342;2029.6835;46.7747;46.1125;15.7747;0.0648;0.121;18341.0
17/08/2012;Zone A;1;37494.8581;2029.6891;46.7739;46.1135;15.7744;0.0648;0.121;18341.0
18/08/2012;Zone A;1;37494.882;2029.6947;46.7731;46.1145;15.7741;0.0648;0.121;19258.0
19/08/2012;Zone A;1;37494.9059;2029.7003;46.7724;46.1154;15.7738;0.0648;0.121;19258.0
20/08/2012;Zone A;0;37494.9298;2029.7059;46.7716;46.1164;15.7735;0.0648;0.121;17806.0
21/08/2012;Zone A;0;37494.9538;2029.7115;46.7708;46.1174;15.7732;0.0648;0.1211;17807.0
22/08/2012;Zone A;1;37494.9777;2029.717;46.7701;46.1183;15.7729;0.0648;0.1211;18341.0
23/08/2012;Zone A;0;37495.0016;2029.7226;46.7693;46.1193;15.7726;0.0648;0.1211;17807.0
24/08/2012;Zone A;0;37495.0255;2029.7282;46.7685;46.1203;15.7723;0.0648;0.1211;17807.0
25/08/2012;Zone A;1;37495.0494;2029.7338;46.7678;46.1212;15.772;0.0649;0.1211;19258.0
26/08/2012;Zone A;0;37495.0733;2029.7394;46.767;46.1222;15.7716;0.0649;0.1211;18697.0
27/08/2012;Zone A;0;37495.0972;2029.745;46.7662;46.1232;15.7713;0.0649;0.1211;17806.0
28/08/2012;Zone A;1;37495.1211;2029.7506;46.7655;46.1241;15.771;0.0649;0.1211;18341.0
29/08/2012;Zone A;0;37495.145;2029.7562;46.7647;46.1251;15.7707;0.0649;0.1211;17806.0
30/08/2012;Zone A;1;37495.1689;2029.7618;46.7639;46.1261;15.7704;0.0649;0.1211;18341.0
31/08/2012;Zone A;0;37495.1929;2029.7674;46.7632;46.127;15.7701;0.0649;0.1212;17807.0
01/09/2012;Zone A;1;37495.2168;2029.773;46.7624;46.128;15.7698;0.0649;0.1212;19258.0
02/09/2012;Zone A;0;37495.2407;2029.7786;46.7617;46.129;15.7695;0.0649;0.1212;18697.0
03/09/2012;Zone A;0;37495.2646;2029.7842;46.7609;46.1299;15.7692;0.0649;0.1212;17807.0
04/09/2012;Zone A;0;37495.2885;2029.7898;46.7601;46.1309;15.7689;0.0649;0.1212;17807.0
05/09/2012;Zone A;1;37495.3124;2029.7954;46.7594;46.1319;15.7686;0.0649;0.1212;18341.0
