Date;Zone Name;% Electric Cars;Average Consumption (kWh/km);Average Daily Distance (km/day)
12/02/2012;Zone A;0.35;0.05224497;35.97
13/02/2012;Zone A;0.35;0.05224071;35.97
14/02/2012;Zone A;0.35;0.05223644;35.97
15/02/2012;Zone A;0.35;0.05223217;35.97
16/02/2012;Zone A;0.35;0.05222791;35.97
17/02/2012;Zone A;0.35;0.05222364;35.97
18/02/2012;Zone A;0.35;0.05221938;35.97
19/02/2012;Zone A;0.35;0.05221511;35.97
20/02/2012;Zone A;0.35;0.05221085;35.97
21/02/2012;Zone A;0.35;0.05220658;35.97
22/02/2012;Zone A;0.35;0.05220232;35.97
23/02/2012;Zone A;0.35;0.05219805;35.97
24/02/2012;Zone A;0.35;0.05219379;35.98
25/02/2012;Zone A;0.35;0.05218953;35.98
26/02/2012;Zone A;0.35;0.05218526;35.98
27/02/2012;Zone A;0.35;0.052181;35.98
28/02/2012;Zone A;0.35;0.05217674;35.98
29/02/2012;Zone A;0.35;0.05217248;35.98
01/03/2012;Zone A;0.35;0.05216822;35.98
02/03/2012;Zone A;0.35;0.05216396;35.98
03/03/2012;Zone A;0.35;0.05215969;35.98
04/03/2012;Zone A;0.35;0.05215543;35.98
05/03/2012;Zone A;0.35;0.05215117;35.98
06/03/2012;Zone A;0.36;0.05214691;35.99
07/03/2012;Zone A;0.36;0.05214266;35.99
08/03/2012;Zone A;0.36;0.0521384;35.99
09/03/2012;Zone A;0.36;0.05213414;35.99
10/03/2012;Zone A;0.36;0.05212988;35.99
11/03/2012;Zone A;0.36;0.05212562;35.99
12/03/2012;Zone A;0.36;0.05212136;35.99
13/03/2012;Zone A;0.36;0.05211711;35.99
14/03/2012;Zone A;0.36;0.05211285;35.99
15/03/2012;Zone A;0.36;0.05210859;35.99
16/03/2012;Zone A;0.36;0.05210434;35.99
17/03/2012;Zone A;0.36;0.05210008;35.99
18/03/2012;Zone A;0.36;0.05209583;36.0
19/03/2012;Zone A;0.36;0.05209157;36.0
20/03/2012;Zone A;0.36;0.05208732;36.0
21/03/2012;Zone A;0.36;0.05208306;36.0
22/03/2012;Zone A;0.36;0.05207881;36.0
23/03/2012;Zone A;0.36;0.05207455;36.0
24/03/2012;Zone A;0.36;0.0520703;36.0
25/03/2012;Zone A;0.36;0.05206605;36.0
26/03/2012;Zone A;0.36;0.0520618;36.0
27/03/2012;Zone A;0.36;0.05205754;36.0
28/03/2012;Zone A;0.36;0.05205329;36.0
29/03/2012;Zone A;0.36;0.05204904;36.0
30/03/2012;Zone A;0.36;0.05204479;36.01
31/03/2012;Zone A;0.36;0.05204054;36.01
01/04/2012;Zone A;0.36;0.05203629;36.01
02/04/2012;Zone A;0.36;0.05203204;36.01
03/04/2012;Zone A;0.36;0.05202779;36.01
04/04/2012;Zone A;0.36;0.05202354;36.01
05/04/2012;Zone A;0.36;0.05201929;36.01
06/04/2012;Zone A;0.36;0.05201504;36.01
07/04/2012;Zone A;0.36;0.05201079;36.01
08/04/2012;Zone A;0.36;0.05200654;36.01
09/04/2012;Zone A;0.36;0.05200229;36.01
10/04/2012;Zone A;0.36;0.05199805;36.01
11/04/2012;Zone A;0.36;0.0519938;36.02
12/04/2012;Zone A;0.36;0.05198955;36.02
13/04/2012;Zone A;0.36;0.05198531;36.02
14/04/2012;Zone A;0.36;0.05198106;36.02
15/04/2012;Zone A;0.36;0.05197681;36.02
16/04/2012;Zone A;0.36;0.05197257;36.02
17/04/2012;Zone A;0.36;0.05196832;36.02
18/04/2012;Zone A;0.36;0.05196408;36.02
19/04/2012;Zone A;0.36;0.05195984;36.02
20/04/2012;Zone A;0.36;0.05195559;36.02
21/04/2012;Zone A;0.36;0.05195135;36.02
22/04/2012;Zone A;0.36;0.0519471;36.02
23/04/2012;Zone A;0.36;0.05194286;36.03
24/04/2012;Zone A;0.36;0.05193862;36.03
25/04/2012;Zone A;0.36;0.05193438;36.03
26/04/2012;Zone A;0.36;0.05193013;36.03
27/04/2012;Zone A;0.36;0.05192589;36.03
28/04/2012;Zone A;0.36;0.05192165;36.03
29/04/2012;Zone A;0.36;0.05191741;36.03
30/04/2012;Zone A;0.36;0.05191317;36.03
01/05/2012;Zone A;0.36;0.05190893;36.03
02/05/2012;Zone A;0.36;0.05190469;36.03
03/05/2012;Zone A;0.36;0.05190045;36.03
04/05/2012;Zone A;0.36;0.05189621;36.04
05/05/2012;Zone A;0.36;0.05189197;36.04
06/05/2012;Zone A;0.36;0.05188773;36.04
07/05/2012;Zone A;0.36;0.0518835;36.04
08/05/2012;Zone A;0.36;0.05187926;36.04
09/05/2012;Zone A;0.36;0.05187502;36.04
10/05/2012;Zone A;0.36;0.05187078;36.04
11/05/2012;Zone A;0.36;0.05186655;36.04
12/05/2012;Zone A;0.36;0.05186231;36.04
13/05/2012;Zone A;0.36;0.05185807;36.04
14/05/2012;Zone A;0.36;0.05185384;36.04
15/05/2012;Zone A;0.36;0.0518496;36.04
16/05/2012;Zone A;0.36;0.05184537;36.05
17/05/2012;Zone A;0.36;0.05184113;36.05
18/05/2012;Zone A;0.36;0.0518369;36.05
19/05/2012;Zone A;0.36;0.05183267;36.05
20/05/2012;Zone A;0.36;0.05182843;36.05
21/05/2012;Zone A;0.36;0.0518242;36.05
22/05/2012;Zone A;0.36;0.05181997;36.05
23/05/2012;Zone A;0.36;0.05181573;36.05
24/05/2012;Zone A;0.36;0.0518115;36.05
25/05/2012;Zone A;0.36;0.05180727;36.05
26/05/2012;Zone A;0.36;0.05180304;36.05
27/05/2012;Zone A;0.36;0.05179881;36.05
28/05/2012;Zone A;0.36;0.05179458;36.06
29/05/2012;Zone A;0.36;0.05179035;36.06
30/05/2012;Zone A;0.36;0.05178612;36.06
31/05/2012;Zone A;0.36;0.05178189;36.06
01/06/2012;Zone A;0.36;0.05177766;36.06
02/06/2012;Zone A;0.36;0.05177343;36.06
03/06/2012;Zone A;0.36;0.0517692;36.06
04/06/2012;Zone A;0.36;0.05176497;36.06
05/06/2012;Zone A;0.36;0.05176074;36.06
06/06/2012;Zone A;0.36;0.05175651;36.06
07/06/2012;Zone A;0.36;0.05175229;36.06
08/06/2012;Zone A;0.36;0.05174806;36.06
09/06/2012;Zone A;0.36;0.05174383;36.07
10/06/2012;Zone A;0.36;0.05173961;36.07
11/06/2012;Zone A;0.36;0.05173538;36.07
12/06/2012;Zone A;0.36;0.05173115;36.07
13/06/2012;Zone A;0.36;0.05172693;36.07
14/06/2012;Zone A;0.36;0.0517227;36.07
15/06/2012;Zone A;0.36;0.05171848;36.07
16/06/2012;Zone A;0.36;0.05171426;36.07
17/06/2012;Zone A;0.36;0.05171003;36.07
18/06/2012;Zone A;0.36;0.05170581;36.07
19/06/2012;Zone A;0.36;0.05170158;36.07
20/06/2012;Zone A;0.36;0.05169736;36.07
21/06/2012;Zone A;0.36;0.05169314;36.08
22/06/2012;Zone A;0.36;0.05168892;36.08
23/06/2012;Zone A;0.36;0.0516847;36.08
24/06/2012;Zone A;0.36;0.05168047;36.08
25/06/2012;Zone A;0.36;0.05167625;36.08
26/06/2012;Zone A;0.36;0.05167203;36.08
27/06/2012;Zone A;0.36;0.05166781;36.08
28/06/2012;Zone A;0.36;0.05166359;36.08
29/06/2012;Zone A;0.36;0.05165937;36.08
30/06/2012;Zone A;0.36;0.05165515;36.08
01/07/2012;Zone A;0.36;0.05165093;36.08
02/07/2012;Zone A;0.36;0.05164671;36.09
03/07/2012;Zone A;0.36;0.0516425;36.09
04/07/2012;Zone A;0.36;0.05163828;36.09
05/07/2012;Zone A;0.36;0.05163406;36.09
06/07/2012;Zone A;0.36;0.05162984;36.09
07/07/2012;Zone A;0.36;0.05162563;36.09
08/07/2012;Zone A;0.36;0.05162141;36.09
09/07/2012;Zone A;0.36;0.05161719;36.09
10/07/2012;Zone A;0.36;0.05161298;36.09
11/07/2012;Zone A;0.36;0.05160876;36.09
12/07/2012;Zone A;0.36;0.05160455;36.09
13/07/2012;Zone A;0.36;0.05160033;36.09
14/07/2012;Zone A;0.36;0.05159612;36.1
15/07/2012;Zone A;0.36;0.0515919;36.1
16/07/2012;Zone A;0.36;0.05158769;36.1
17/07/2012;Zone A;0.36;0.05158347;36.1
18/07/2012;Zone A;0.36;0.05157926;36.1
19/07/2012;Zone A;0.36;0.05157505;36.1
20/07/2012;Zone A;0.36;0.05157084;36.1
21/07/2012;Zone A;0.36;0.05156662;36.1
22/07/2012;Zone A;0.36;0.05156241;36.1
23/07/2012;Zone A;0.36;0.0515582;36.1
24/07/2012;Zone A;0.36;0.05155399;36.1
25/07/2012;Zone A;0.36;0.05154978;36.1
26/07/2012;Zone A;0.36;0.05154557;36.11
27/07/2012;Zone A;0.36;0.05154136;36.11
28/07/2012;Zone A;0.36;0.05153715;36.11
29/07/2012;Zone A;0.36;0.05153294;36.11
30/07/2012;Zone A;0.36;0.05152873;36.11
31/07/2012;Zone A;0.36;0.05152452;36.11
01/08/2012;Zone A;0.36;0.05152031;36.11
02/08/2012;Zone A;0.36;0.0515161;36.11
03/08/2012;Zone A;0.36;0.0515119;36.11
04/08/2012;Zone A;0.36;0.05150769;36.11
05/08/2012;Zone A;0.36;0.05150348;36.11
06/08/2012;Zone A;0.36;0.05149927;36.11
07/08/2012;Zone A;0.36;0.05149507;36.12
08/08/2012;Zone A;0.36;0.05149086;36.12
09/08/2012;Zone A;0.36;0.05148666;36.12
10/08/2012;Zone A;0.36;0.05148245;36.12
11/08/2012;Zone A;0.36;0.05147825;36.12
12/08/2012;Zone A;0.36;0.05147404;36.12
13/08/2012;Zone A;0.36;0.05146984;36.12
14/08/2012;Zone A;0.36;0.05146563;36.12
15/08/2012;Zone A;0.36;0.05146143;36.12
16/08/2012;Zone A;0.36;0.05145723;36.12
17/08/2012;Zone A;0.36;0.05145302;36.12
18/08/2012;Zone A;0.36;0.05144882;36.13
19/08/2012;Zone A;0.36;0.05144462;36.13
20/08/2012;Zone A;0.36;0.05144042;36.13
21/08/2012;Zone A;0.36;0.05143621;36.13
22/08/2012;Zone A;0.36;0.05143201;36.13
23/08/2012;Zone A;0.36;0.05142781;36.13
24/08/2012;Zone A;0.36;0.05142361;36.13
25/08/2012;Zone A;0.36;0.05141941;36.13
26/08/2012;Zone A;0.36;0.05141521;36.13
27/08/2012;Zone A;0.36;0.05141101;36.13
28/08/2012;Zone A;0.36;0.05140681;36.13
29/08/2012;Zone A;0.36;0.05140261;36.13
30/08/2012;Zone A;0.36;0.05139842;36.14
31/08/2012;Zone A;0.36;0.05139422;36.14
01/09/2012;Zone A;0.36;0.05139002;36.14
02/09/2012;Zone A;0.36;0.05138582;36.14
03/09/2012;Zone A;0.36;0.05138163;36.14
04/09/2012;Zone A;0.36;0.05137743;36.14
05/09/2012;Zone A;0.36;0.05137323;36.14
06/09/2012;Zone A;0.36;0.05136904;36.14
07/09/2012;Zone A;0.36;0.05136484;36.14
08/09/2012;Zone A;0.36;0.05136065;36.14
09/09/2012;Zone A;0.36;0.05135645;36.14
10/09/2012;Zone A;0.36;0.05135226;36.14
11/09/2012;Zone A;0.36;0.05134806;36.15
12/09/2012;Zone A;0.36;0.05134387;36.15
13/09/2012;Zone A;0.36;0.05133967;36.15
14/09/2012;Zone A;0.36;0.05133548;36.15
15/09/2012;Zone A;0.36;0.05133129;36.15
16/09/2012;Zone A;0.36;0.05132709;36.15
17/09/2012;Zone A;0.36;0.0513229;36.15
18/09/2012;Zone A;0.36;0.05131871;36.15
19/09/2012;Zone A;0.36;0.05131452;36.15
20/09/2012;Zone A;0.36;0.05131033;36.15
21/09/2012;Zone A;0.36;0.05130614;36.15
22/09/2012;Zone A;0.36;0.05130195;36.15
23/09/2012;Zone A;0.36;0.05129776;36.16
24/09/2012;Zone A;0.36;0.05129357;36.16
25/09/2012;Zone A;0.36;0.05128938;36.16
26/09/2012;Zone A;0.36;0.05128519;36.16
27/09/2012;Zone A;0.36;0.051281;36.16
28/09/2012;Zone A;0.36;0.05127681;36.16
29/09/2012;Zone A;0.36;0.05127262;36.16
30/09/2012;Zone A;0.36;0.05126843;36.16
01/10/2012;Zone A;0.36;0.05126425;36.16
02/10/2012;Zone A;0.36;0.05126006;36.16
03/10/2012;Zone A;0.36;0.05125587;36.16
04/10/2012;Zone A;0.36;0.05125169;36.17
05/10/2012;Zone A;0.36;0.0512475;36.17
06/10/2012;Zone A;0.36;0.05124331;36.17
07/10/2012;Zone A;0.36;0.05123913;36.17
08/10/2012;Zone A;0.36;0.05123494;36.17
09/10/2012;Zone A;0.36;0.05123076;36.17
10/10/2012;Zone A;0.36;0.05122657;36.17
11/10/2012;Zone A;0.36;0.05122239;36.17
12/10/2012;Zone A;0.36;0.05121821;36.17
13/10/2012;Zone A;0.36;0.05121402;36.17
14/10/2012;Zone A;0.36;0.05120984;36.17
15/10/2012;Zone A;0.36;0.05120566;36.17
16/10/2012;Zone A;0.36;0.05120147;36.18
17/10/2012;Zone A;0.36;0.05119729;36.18
18/10/2012;Zone A;0.36;0.05119311;36.18
19/10/2012;Zone A;0.36;0.05118893;36.18
20/10/2012;Zone A;0.36;0.05118475;36.18
21/10/2012;Zone A;0.36;0.05118057;36.18
22/10/2012;Zone A;0.36;0.05117639;36.18
23/10/2012;Zone A;0.36;0.05117221;36.18
24/10/2012;Zone A;0.36;0.05116803;36.18
25/10/2012;Zone A;0.36;0.05116385;36.18
26/10/2012;Zone A;0.36;0.05115967;36.18
27/10/2012;Zone A;0.36;0.05115549;36.18
28/10/2012;Zone A;0.36;0.05115131;36.19
29/10/2012;Zone A;0.36;0.05114713;36.19
30/10/2012;Zone A;0.36;0.05114296;36.19
31/10/2012;Zone A;0.36;0.05113878;36.19
01/11/2012;Zone A;0.36;0.0511346;36.19
02/11/2012;Zone A;0.36;0.05113043;36.19
03/11/2012;Zone A;0.36;0.05112625;36.19
04/11/2012;Zone A;0.36;0.05112207;36.19
05/11/2012;Zone A;0.36;0.0511179;36.19
06/11/2012;Zone A;0.36;0.05111372;36.19
07/11/2012;Zone A;0.36;0.05110955;36.19
08/11/2012;Zone A;0.36;0.05110537;36.19
09/11/2012;Zone A;0.36;0.0511012;36.2
10/11/2012;Zone A;0.36;0.05109703;36.2
11/11/2012;Zone A;0.36;0.05109285;36.2
12/11/2012;Zone A;0.36;0.05108868;36.2
13/11/2012;Zone A;0.36;0.05108451;36.2
14/11/2012;Zone A;0.36;0.05108033;36.2
15/11/2012;Zone A;0.36;0.05107616;36.2
16/11/2012;Zone A;0.36;0.05107199;36.2
17/11/2012;Zone A;0.36;0.05106782;36.2
18/11/2012;Zone A;0.36;0.05106365;36.2
19/11/2012;Zone A;0.36;0.05105948;36.2
20/11/2012;Zone A;0.36;0.05105531;36.21
21/11/2012;Zone A;0.36;0.05105114;36.21
22/11/2012;Zone A;0.36;0.05104697;36.21
23/11/2012;Zone A;0.36;0.0510428;36.21
24/11/2012;Zone A;0.36;0.05103863;36.21
25/11/2012;Zone A;0.36;0.05103446;36.21
26/11/2012;Zone A;0.36;0.05103029;36.21
27/11/2012;Zone A;0.36;0.05102612;36.21
28/11/2012;Zone A;0.36;0.05102195;36.21
29/11/2012;Zone A;0.36;0.05101779;36.21
30/11/2012;Zone A;0.36;0.05101362;36.21
01/12/2012;Zone A;0.36;0.05100945;36.21
02/12/2012;Zone A;0.36;0.05100529;36.22
03/12/2012;Zone A;0.36;0.05100112;36.22
04/12/2012;Zone A;0.36;0.05099695;36.22
05/12/2012;Zone A;0.36;0.05099279;36.22
06/12/2012;Zone A;0.36;0.05098862;36.22
07/12/2012;Zone A;0.36;0.05098446;36.22
08/12/2012;Zone A;0.36;0.0509803;36.22
09/12/2012;Zone A;0.36;0.05097613;36.22
10/12/2012;Zone A;0.36;0.05097197;36.22
11/12/2012;Zone A;0.36;0.0509678;36.22
12/12/2012;Zone A;0.36;0.05096364;36.22
13/12/2012;Zone A;0.36;0.05095948;36.22
14/12/2012;Zone A;0.36;0.05095532;36.23
15/12/2012;Zone A;0.36;0.05095115;36.23
16/12/2012;Zone A;0.36;0.05094699;36.23
17/12/2012;Zone A;0.36;0.05094283;36.23
18/12/2012;Zone A;0.36;0.05093867;36.23
19/12/2012;Zone A;0.36;0.05093451;36.23
20/12/2012;Zone A;0.36;0.05093035;36.23
21/12/2012;Zone A;0.36;0.05092619;36.23
22/12/2012;Zone A;0.36;0.05092203;36.23
23/12/2012;Zone A;0.36;0.05091787;36.23
24/12/2012;Zone A;0.36;0.05091371;36.23
25/12/2012;Zone A;0.36;0.05090955;36.24
26/12/2012;Zone A;0.36;0.0509054;36.24
27/12/2012;Zone A;0.36;0.05090124;36.24
28/12/2012;Zone A;0.36;0.05089708;36.24
29/12/2012;Zone A;0.36;0.05089292;36.24
30/12/2012;Zone A;0.36;0.05088877;36.24
31/12/2012;Zone A;0.36;0.05088461;36.24
01/01/2013;Zone A;0.36;0.05088031;36.24
02/01/2013;Zone A;0.36;0.05087602;36.24
03/01/2013;Zone A;0.36;0.05087172;36.24
04/01/2013;Zone A;0.36;0.05086743;36.24
05/01/2013;Zone A;0.36;0.05086314;36.24
06/01/2013;Zone A;0.36;0.05085884;36.25
07/01/2013;Zone A;0.36;0.05085455;36.25
08/01/2013;Zone A;0.36;0.05085026;36.25
09/01/2013;Zone A;0.36;0.05084596;36.25
10/01/2013;Zone A;0.36;0.05084167;36.25
11/01/2013;Zone A;0.36;0.05083738;36.25
12/01/2013;Zone A;0.36;0.05083309;36.25
13/01/2013;Zone A;0.36;0.0508288;36.25
14/01/2013;Zone A;0.36;0.0508245;36.25
15/01/2013;Zone A;0.36;0.05082021;36.25
16/01/2013;Zone A;0.36;0.05081592;36.25
17/01/2013;Zone A;0.36;0.05081163;36.25
18/01/2013;Zone A;0.36;0.05080734;36.26
19/01/2013;Zone A;0.36;0.05080306;36.26
20/01/2013;Zone A;0.36;0.05079877;36.26
21/01/2013;Zone A;0.36;0.05079448;36.26
22/01/2013;Zone A;0.36;0.05079019;36.26
23/01/2013;Zone A;0.36;0.0507859;36.26
24/01/2013;Zone A;0.36;0.05078162;36.26
25/01/2013;Zone A;0.36;0.05077733;36.26
26/01/2013;Zone A;0.36;0.05077304;36.26
27/01/2013;Zone A;0.36;0.05076876;36.26
28/01/2013;Zone A;0.36;0.05076447;36.26
29/01/2013;Zone A;0.36;0.05076019;36.26
30/01/2013;Zone A;0.36;0.0507559;36.27
31/01/2013;Zone A;0.36;0.05075162;36.27
01/02/2013;Zone A;0.36;0.05074733;36.27
02/02/2013;Zone A;0.37;0.05074305;36.27
03/02/2013;Zone A;0.37;0.05073876;36.27
04/02/2013;Zone A;0.37;0.05073448;36.27
05/02/2013;Zone A;0.37;0.0507302;36.27
06/02/2013;Zone A;0.37;0.05072591;36.27
07/02/2013;Zone A;0.37;0.05072163;36.27
08/02/2013;Zone A;0.37;0.05071735;36.27
09/02/2013;Zone A;0.37;0.05071307;36.27
10/02/2013;Zone A;0.37;0.05070879;36.28
11/02/2013;Zone A;0.37;0.05070451;36.28
12/02/2013;Zone A;0.37;0.05070023;36.28
13/02/2013;Zone A;0.37;0.05069595;36.28
14/02/2013;Zone A;0.37;0.05069167;36.28
15/02/2013;Zone A;0.37;0.05068739;36.28
16/02/2013;Zone A;0.37;0.05068311;36.28
17/02/2013;Zone A;0.37;0.05067883;36.28
18/02/2013;Zone A;0.37;0.05067455;36.28
19/02/2013;Zone A;0.37;0.05067027;36.28
20/02/2013;Zone A;0.37;0.050666;36.28
21/02/2013;Zone A;0.37;0.05066172;36.28
22/02/2013;Zone A;0.37;0.05065744;36.29
23/02/2013;Zone A;0.37;0.05065317;36.29
24/02/2013;Zone A;0.37;0.05064889;36.29
25/02/2013;Zone A;0.37;0.05064461;36.29
26/02/2013;Zone A;0.37;0.05064034;36.29
27/02/2013;Zone A;0.37;0.05063606;36.29
28/02/2013;Zone A;0.37;0.05063179;36.29
01/03/2013;Zone A;0.37;0.05062752;36.29
02/03/2013;Zone A;0.37;0.05062324;36.29
03/03/2013;Zone A;0.37;0.05061897;36.29
04/03/2013;Zone A;0.37;0.0506147;36.29
05/03/2013;Zone A;0.37;0.05061042;36.29
06/03/2013;Zone A;0.37;0.05060615;36.3
07/03/2013;Zone A;0.37;0.05060188;36.3
08/03/2013;Zone A;0.37;0.05059761;36.3
09/03/2013;Zone A;0.37;0.05059333;36.3
10/03/2013;Zone A;0.37;0.05058906;36.3
11/03/2013;Zone A;0.37;0.05058479;36.3
12/03/2013;Zone A;0.37;0.05058052;36.3
13/03/2013;Zone A;0.37;0.05057625;36.3
14/03/2013;Zone A;0.37;0.05057198;36.3
15/03/2013;Zone A;0.37;0.05056771;36.3
16/03/2013;Zone A;0.37;0.05056345;36.3
17/03/2013;Zone A;0.37;0.05055918;36.31
18/03/2013;Zone A;0.37;0.05055491;36.31
19/03/2013;Zone A;0.37;0.05055064;36.31
20/03/2013;Zone A;0.37;0.05054637;36.31
21/03/2013;Zone A;0.37;0.05054211;36.31
22/03/2013;Zone A;0.37;0.05053784;36.31
23/03/2013;Zone A;0.37;0.05053357;36.31
24/03/2013;Zone A;0.37;0.05052931;36.31
25/03/2013;Zone A;0.37;0.05052504;36.31
26/03/2013;Zone A;0.37;0.05052078;36.31
27/03/2013;Zone A;0.37;0.05051651;36.31
28/03/2013;Zone A;0.37;0.05051225;36.31
29/03/2013;Zone A;0.37;0.05050798;36.32
30/03/2013;Zone A;0.37;0.05050372;36.32
31/03/2013;Zone A;0.37;0.05049946;36.32
01/04/2013;Zone A;0.37;0.05049519;36.32
02/04/2013;Zone A;0.37;0.05049093;36.32
03/04/2013;Zone A;0.37;0.05048667;36.32
04/04/2013;Zone A;0.37;0.05048241;36.32
05/04/2013;Zone A;0.37;0.05047814;36.32
06/04/2013;Zone A;0.37;0.05047388;36.32
07/04/2013;Zone A;0.37;0.05046962;36.32
08/04/2013;Zone A;0.37;0.05046536;36.32
09/04/2013;Zone A;0.37;0.0504611;36.32
10/04/2013;Zone A;0.37;0.05045684;36.33
11/04/2013;Zone A;0.37;0.05045258;36.33
12/04/2013;Zone A;0.37;0.05044832;36.33
13/04/2013;Zone A;0.37;0.05044406;36.33
14/04/2013;Zone A;0.37;0.05043981;36.33
15/04/2013;Zone A;0.37;0.05043555;36.33
16/04/2013;Zone A;0.37;0.05043129;36.33
17/04/2013;Zone A;0.37;0.05042703;36.33
18/04/2013;Zone A;0.37;0.05042278;36.33
19/04/2013;Zone A;0.37;0.05041852;36.33
20/04/2013;Zone A;0.37;0.05041426;36.33
21/04/2013;Zone A;0.37;0.05041001;36.33
22/04/2013;Zone A;0.37;0.05040575;36.34
23/04/2013;Zone A;0.37;0.0504015;36.34
24/04/2013;Zone A;0.37;0.05039724;36.34
25/04/2013;Zone A;0.37;0.05039299;36.34
26/04/2013;Zone A;0.37;0.05038873;36.34
27/04/2013;Zone A;0.37;0.05038448;36.34
28/04/2013;Zone A;0.37;0.05038023;36.34
29/04/2013;Zone A;0.37;0.05037597;36.34
30/04/2013;Zone A;0.37;0.05037172;36.34
01/05/2013;Zone A;0.37;0.05036747;36.34
02/05/2013;Zone A;0.37;0.05036322;36.34
03/05/2013;Zone A;0.37;0.05035896;36.35
04/05/2013;Zone A;0.37;0.05035471;36.35
05/05/2013;Zone A;0.37;0.05035046;36.35
06/05/2013;Zone A;0.37;0.05034621;36.35
07/05/2013;Zone A;0.37;0.05034196;36.35
08/05/2013;Zone A;0.37;0.05033771;36.35
09/05/2013;Zone A;0.37;0.05033346;36.35
10/05/2013;Zone A;0.37;0.05032921;36.35
11/05/2013;Zone A;0.37;0.05032497;36.35
12/05/2013;Zone A;0.37;0.05032072;36.35
13/05/2013;Zone A;0.37;0.05031647;36.35
14/05/2013;Zone A;0.37;0.05031222;36.35
15/05/2013;Zone A;0.37;0.05030797;36.36
16/05/2013;Zone A;0.37;0.05030373;36.36
17/05/2013;Zone A;0.37;0.05029948;36.36
18/05/2013;Zone A;0.37;0.05029523;36.36
19/05/2013;Zone A;0.37;0.05029099;36.36
20/05/2013;Zone A;0.37;0.05028674;36.36
21/05/2013;Zone A;0.37;0.0502825;36.36
22/05/2013;Zone A;0.37;0.05027825;36.36
23/05/2013;Zone A;0.37;0.05027401;36.36
24/05/2013;Zone A;0.37;0.05026976;36.36
25/05/2013;Zone A;0.37;0.05026552;36.36
26/05/2013;Zone A;0.37;0.05026128;36.36
27/05/2013;Zone A;0.37;0.05025703;36.37
28/05/2013;Zone A;0.37;0.05025279;36.37
29/05/2013;Zone A;0.37;0.05024855;36.37
30/05/2013;Zone A;0.37;0.05024431;36.37
31/05/2013;Zone A;0.37;0.05024007;36.37
01/06/2013;Zone A;0.37;0.05023583;36.37
02/06/2013;Zone A;0.37;0.05023158;36.37
03/06/2013;Zone A;0.37;0.05022734;36.37
04/06/2013;Zone A;0.37;0.0502231;36.37
05/06/2013;Zone A;0.37;0.05021886;36.37
06/06/2013;Zone A;0.37;0.05021463;36.37
07/06/2013;Zone A;0.37;0.05021039;36.38
08/06/2013;Zone A;0.37;0.05020615;36.38
09/06/2013;Zone A;0.37;0.05020191;36.38
10/06/2013;Zone A;0.37;0.05019767;36.38
11/06/2013;Zone A;0.37;0.05019343;36.38
12/06/2013;Zone A;0.37;0.0501892;36.38
13/06/2013;Zone A;0.37;0.05018496;36.38
14/06/2013;Zone A;0.37;0.05018072;36.38
15/06/2013;Zone A;0.37;0.05017649;36.38
16/06/2013;Zone A;0.37;0.05017225;36.38
17/06/2013;Zone A;0.37;0.05016802;36.38
18/06/2013;Zone A;0.37;0.05016378;36.38
